,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4
chunk_byte_size,1.0,0.04672017883070976,0.8566150720430179,0.9998168551988426,0.8566150720430179,0.8844858861518815,0.8844858861518815,0.8844858861518815,0.8844858861518815,0.8844858861518815,0.8844858861518815,0.8844858861518815,0.8566150720430179,0.6391083880696218,0.315483316535943,0.12239147474385349
chunk_number_in_heap,0.04672017883070976,1.0,0.060390200410952694,0.04596980932071965,0.060390200410952694,0.061916713701509224,0.061916713701509224,0.061916713701509224,0.061916713701509224,0.061916713701509224,0.061916713701509224,0.061916713701509224,0.060390200410952694,0.051190050322938406,0.12789227244971713,0.0014251715998799986
chunk_ptrs,0.8566150720430179,0.060390200410952694,1.0,0.8466063102334614,1.0,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,1.0,0.9245250187487025,0.27161243694767023,0.10585587628955093
chunk_vns,0.9998168551988426,0.04596980932071965,0.8466063102334614,1.0,0.8466063102334612,0.8754515084755362,0.8754515084755362,0.8754515084755362,0.8754515084755362,0.8754515084755362,0.8754515084755362,0.8754515084755362,0.8466063102334612,0.6250359587127109,0.31537416139450436,0.12227310310988075
ptrs_ancestor_1,0.8566150720430179,0.060390200410952694,1.0,0.8466063102334612,1.0,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,1.0,0.9245250187487025,0.27161243694767023,0.10585587628955093
ptrs_ancestor_2,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_3,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_4,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_5,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_6,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_7,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_ancestor_8,0.8844858861518815,0.061916713701509224,0.9974117084744419,0.8754515084755362,0.9974117084744419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974117084744419,0.8984973797713506,0.2907103641638086,0.11164564403545077
ptrs_children_1,0.8566150720430179,0.060390200410952694,1.0,0.8466063102334612,1.0,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,0.9974117084744419,1.0,0.9245250187487025,0.27161243694767023,0.10585587628955093
ptrs_children_2,0.6391083880696218,0.051190050322938406,0.9245250187487025,0.6250359587127109,0.9245250187487025,0.8984973797713506,0.8984973797713506,0.8984973797713506,0.8984973797713506,0.8984973797713506,0.8984973797713506,0.8984973797713506,0.9245250187487025,1.0,0.1118078103574212,0.03977329344245711
ptrs_children_3,0.315483316535943,0.12789227244971713,0.27161243694767023,0.31537416139450436,0.27161243694767023,0.2907103641638086,0.2907103641638086,0.2907103641638086,0.2907103641638086,0.2907103641638086,0.2907103641638086,0.2907103641638086,0.27161243694767023,0.1118078103574212,1.0,0.3499142344986818
ptrs_children_4,0.12239147474385349,0.0014251715998799986,0.10585587628955093,0.12227310310988075,0.10585587628955093,0.11164564403545077,0.11164564403545077,0.11164564403545077,0.11164564403545077,0.11164564403545077,0.11164564403545077,0.11164564403545077,0.10585587628955093,0.03977329344245711,0.3499142344986818,1.0
