,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16632229811343127,0.11461896410951503,0.0885098488989456,0.08155794549482666,0.07439340570019368,0.0700737353640185,0.06850328891550983,0.14558493885066548,-0.11695192611772368,0.30420632093925853,0.12272995545244351
chns_children_2,0.16632229811343127,0.16632229811343127,0.16632229811343127,0.16632229811343127,0.16632229811343127,0.16632229811343127,0.16632229811343127,1.0,0.9519748696924687,0.9025221740598687,0.8776232444860801,0.8528253848559252,0.8392371047833265,0.8370666356979154,0.23597944338656587,0.07466828738614147,0.39378728028179943,0.20753034725493333
chns_children_3,0.11461896410951503,0.11461896410951503,0.11461896410951503,0.11461896410951503,0.11461896410951503,0.11461896410951503,0.11461896410951503,0.9519748696924687,1.0,0.9830914436623884,0.9631551456479764,0.9424044188862121,0.9303605000940023,0.9274644391150703,0.15418352236667468,0.07371259111586684,0.29602765121317154,0.1321306005468343
chns_children_4,0.0885098488989456,0.0885098488989456,0.0885098488989456,0.0885098488989456,0.0885098488989456,0.0885098488989456,0.0885098488989456,0.9025221740598687,0.9830914436623884,1.0,0.9925272969105907,0.9798452848923883,0.9708349054779207,0.966008089171659,0.11465080209197354,0.07305666274282013,0.2792600754317477,0.09303781950517657
chns_children_5,0.08155794549482666,0.08155794549482666,0.08155794549482666,0.08155794549482666,0.08155794549482666,0.08155794549482666,0.08155794549482666,0.8776232444860801,0.9631551456479764,0.9925272969105907,1.0,0.9958253659957261,0.9904157034028107,0.9859537870604894,0.1006470648444018,0.07226315514097158,0.2648961179599366,0.07992590693259437
chns_children_6,0.07439340570019368,0.07439340570019368,0.07439340570019368,0.07439340570019368,0.07439340570019368,0.07439340570019368,0.07439340570019368,0.8528253848559252,0.9424044188862121,0.9798452848923883,0.9958253659957261,1.0,0.9985699889929069,0.9949825515536842,0.09403164929110565,0.07123455258034438,0.25773850000316184,0.07376589681889852
chns_children_7,0.0700737353640185,0.0700737353640185,0.0700737353640185,0.0700737353640185,0.0700737353640185,0.0700737353640185,0.0700737353640185,0.8392371047833265,0.9303605000940023,0.9708349054779207,0.9904157034028107,0.9985699889929069,1.0,0.9979001073358057,0.09065432233422224,0.07042931098474302,0.25473940608863305,0.07056458098400105
chns_children_8,0.06850328891550983,0.06850328891550983,0.06850328891550983,0.06850328891550983,0.06850328891550983,0.06850328891550983,0.06850328891550983,0.8370666356979154,0.9274644391150703,0.966008089171659,0.9859537870604894,0.9949825515536842,0.9979001073358057,1.0,0.0879122051057141,0.07017025869251796,0.25341090088838264,0.06787531686524345
chunk_byte_size,0.14558493885066548,0.14558493885066548,0.14558493885066548,0.14558493885066548,0.14558493885066548,0.14558493885066548,0.14558493885066548,0.23597944338656587,0.15418352236667468,0.11465080209197354,0.1006470648444018,0.09403164929110565,0.09065432233422224,0.0879122051057141,1.0,0.03363553518535914,0.33560483440534533,0.996603381652325
chunk_number_in_heap,-0.11695192611772368,-0.11695192611772368,-0.11695192611772368,-0.11695192611772368,-0.11695192611772368,-0.11695192611772368,-0.11695192611772368,0.07466828738614147,0.07371259111586684,0.07305666274282013,0.07226315514097158,0.07123455258034438,0.07042931098474302,0.07017025869251796,0.03363553518535914,1.0,0.025067000208144643,0.032290801835860784
chunk_ptrs,0.30420632093925853,0.30420632093925853,0.30420632093925853,0.30420632093925853,0.30420632093925853,0.30420632093925853,0.30420632093925853,0.39378728028179943,0.29602765121317154,0.2792600754317477,0.2648961179599366,0.25773850000316184,0.25473940608863305,0.25341090088838264,0.33560483440534533,0.025067000208144643,1.0,0.2569434403645389
chunk_vns,0.12272995545244351,0.12272995545244351,0.12272995545244351,0.12272995545244351,0.12272995545244351,0.12272995545244351,0.12272995545244351,0.20753034725493333,0.1321306005468343,0.09303781950517657,0.07992590693259437,0.07376589681889852,0.07056458098400105,0.06787531686524345,0.996603381652325,0.032290801835860784,0.2569434403645389,1.0
