,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1636831143775413,0.10762184472334986,0.11154440004290353,0.10536395759464427,0.10278256753315476,0.10123277963913925,0.11063606699102779,0.025138254405815477,-0.03987658101797181,0.19383865280450085,0.01831692815680054
chns_children_2,0.1636831143775413,0.1636831143775413,0.1636831143775413,0.1636831143775413,0.1636831143775413,0.1636831143775413,0.1636831143775413,1.0,0.8741260274658275,0.7945023206601928,0.7680443057239144,0.7507956939083636,0.7416363887428971,0.7390188082708743,0.08193753863262825,0.07161439106562886,0.6140455129520564,0.06033546416532726
chns_children_3,0.10762184472334986,0.10762184472334986,0.10762184472334986,0.10762184472334986,0.10762184472334986,0.10762184472334986,0.10762184472334986,0.8741260274658275,1.0,0.9808597291503268,0.9626088858825752,0.9484720181195492,0.9399253948223474,0.9357514818430773,0.06344056805987255,0.11043931741992127,0.2477754201764333,0.05480619691886193
chns_children_4,0.11154440004290353,0.11154440004290353,0.11154440004290353,0.11154440004290353,0.11154440004290353,0.11154440004290353,0.11154440004290353,0.7945023206601928,0.9808597291503268,1.0,0.9923113718884852,0.9825881500861066,0.9756039258427874,0.9702389896991603,0.057498782510637884,0.12352578107042955,0.16431571533374345,0.051814476207401476
