,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4
chunk_byte_size,1.0,0.16655787381732956,0.4959667682553159,0.9998379508111908,0.4959667682553159,0.5116789051124715,0.5116789051124715,0.5116789051124715,0.5116789051124715,0.5116789051124715,0.5116789051124715,0.5116789051124715,0.4959667682553159,0.36664354909236063,0.14144228286452865,0.060436253259345915
chunk_number_in_heap,0.16655787381732956,1.0,0.08928029214492236,0.1663958315696556,0.08928029214492236,0.08965911036633832,0.08965911036633832,0.08965911036633832,0.08965911036633832,0.08965911036633832,0.08965911036633832,0.08965911036633832,0.08928029214492236,0.06776902588863862,0.12179815228407087,0.0021135217687089044
chunk_ptrs,0.4959667682553159,0.08928029214492236,1.0,0.48026670420991957,1.0,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,1.0,0.9127300834706201,0.2292586630169915,0.1076161691926876
chunk_vns,0.9998379508111908,0.1663958315696556,0.48026670420991957,1.0,0.48026670420991946,0.49619492044079483,0.49619492044079483,0.49619492044079483,0.49619492044079483,0.49619492044079483,0.49619492044079483,0.49619492044079483,0.48026670420991946,0.35144257368534665,0.13812273582784396,0.05880309358115209
ptrs_ancestor_1,0.4959667682553159,0.08928029214492236,1.0,0.48026670420991946,1.0,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,1.0,0.9127300834706201,0.2292586630169915,0.1076161691926876
ptrs_ancestor_2,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_3,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_4,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_5,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_6,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_7,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_ancestor_8,0.5116789051124715,0.08965911036633832,0.9972367318437546,0.49619492044079483,0.9972367318437546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437546,0.8862075304101618,0.2438793318156709,0.11365620362477262
ptrs_children_1,0.4959667682553159,0.08928029214492236,1.0,0.48026670420991946,1.0,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,0.9972367318437546,1.0,0.9127300834706201,0.2292586630169915,0.1076161691926876
ptrs_children_2,0.36664354909236063,0.06776902588863862,0.9127300834706201,0.35144257368534665,0.9127300834706201,0.8862075304101618,0.8862075304101618,0.8862075304101618,0.8862075304101618,0.8862075304101618,0.8862075304101618,0.8862075304101618,0.9127300834706201,1.0,0.09707897211056106,0.04134399791879198
ptrs_children_3,0.14144228286452865,0.12179815228407087,0.2292586630169915,0.13812273582784396,0.2292586630169915,0.2438793318156709,0.2438793318156709,0.2438793318156709,0.2438793318156709,0.2438793318156709,0.2438793318156709,0.2438793318156709,0.2292586630169915,0.09707897211056106,1.0,0.3557185391897981
ptrs_children_4,0.060436253259345915,0.0021135217687089044,0.1076161691926876,0.05880309358115209,0.1076161691926876,0.11365620362477262,0.11365620362477262,0.11365620362477262,0.11365620362477262,0.11365620362477262,0.11365620362477262,0.11365620362477262,0.1076161691926876,0.04134399791879198,0.3557185391897981,1.0
