,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-6.221323164946435e-05,0.010349250817897249,0.0382126540100136,0.014485378333877866,0.009577561917414278,0.014485378333877866,0.016055575421452657,0.016055575421452657,0.016055575421452657,0.016055575421452657,0.016055575421452657,0.016055575421452657,0.016055575421452657,0.014485378333877866,0.0032033951010774406,0.03374251809655024,0.03859070505766162,0.020464193387727963,-0.0008555015945748733,-0.0006499410409975284,-0.0007589374774714611
chns_children_3,-6.221323164946435e-05,1.0,-0.0003039436929949807,0.009127296426962922,0.00394645010968477,-0.0005372605812298404,0.00394645010968477,0.004354778624868806,0.004354778624868806,0.004354778624868806,0.004354778624868806,0.004354778624868806,0.004354778624868806,0.004354778624868806,0.00394645010968477,0.0005871421554110563,-0.0007502273559647216,0.010537292312731242,-0.0005305482160674373,-0.00038601367886760443,-0.00029326202764959764,-0.00034244266704708883
chunk_byte_size,0.010349250817897249,-0.0003039436929949807,1.0,0.056721913654151086,0.15489029525009532,0.9983246463177047,0.15489029525009532,0.14783543554309017,0.14783543554309017,0.14783543554309017,0.14783543554309017,0.14783543554309017,0.14783543554309017,0.14783543554309017,0.15489029525009532,0.08287333073528971,0.03223672465613769,0.02614579803271942,0.024975617207654906,0.022926858007859794,0.020688180721084866,-0.004125799496664541
chunk_number_in_heap,0.0382126540100136,0.009127296426962922,0.056721913654151086,1.0,-0.0009432523102708094,0.05719459254681786,-0.0009432523102708094,-0.030464673964212884,-0.030464673964212884,-0.030464673964212884,-0.030464673964212884,-0.030464673964212884,-0.030464673964212884,-0.030464673964212884,-0.0009432523102708094,-0.03715135416223903,0.00675644501051722,-0.0018050838883227611,-0.009328014908862047,-0.022383230807833023,-0.02877812235173705,-0.0025034388831751938
chunk_ptrs,0.014485378333877866,0.00394645010968477,0.15489029525009532,-0.0009432523102708094,1.0,0.09746915541757369,1.0,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,1.0,0.8913746671633787,0.21054465079474455,0.20047157586522846,0.19711190161699288,0.19418961639578364,0.18713276195652861,0.01366610101249176
chunk_vns,0.009577561917414278,-0.0005372605812298404,0.9983246463177047,0.05719459254681786,0.09746915541757369,1.0,0.09746915541757369,0.09099484796622807,0.09099484796622807,0.09099484796622807,0.09099484796622807,0.09099484796622807,0.09099484796622807,0.09099484796622807,0.09746915541757369,0.03128125724867101,0.020143603596167407,0.014597441803656,0.013614719378992212,0.011723712470299578,0.00988213046907972,-0.0049559558164690865
ptrs_ancestor_1,0.014485378333877866,0.00394645010968477,0.15489029525009532,-0.0009432523102708094,1.0,0.09746915541757369,1.0,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,0.9891935737142322,1.0,0.8913746671633787,0.21054465079474455,0.20047157586522846,0.19711190161699288,0.19418961639578364,0.18713276195652861,0.01366610101249176
ptrs_ancestor_2,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_ancestor_3,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_ancestor_4,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
