,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16368311437753338,0.10762184472334847,0.11154440004290497,0.10536395759464354,0.10278256753315144,0.10123277963913914,0.11063606699102972,0.025138254405814554,-0.039876581017970834,0.19383865280449925,0.018316928156800645
chns_children_2,0.16368311437753338,0.16368311437753338,0.16368311437753338,0.16368311437753338,0.16368311437753338,0.16368311437753338,0.16368311437753338,1.0,0.8741260274658124,0.7945023206601679,0.7680443057239037,0.750795693908362,0.7416363887428787,0.7390188082708448,0.08193753863262603,0.0716143910656286,0.6140455129520681,0.060335464165326126
chns_children_3,0.10762184472334847,0.10762184472334847,0.10762184472334847,0.10762184472334847,0.10762184472334847,0.10762184472334847,0.10762184472334847,0.8741260274658124,1.0,0.9808597291503164,0.9626088858825795,0.9484720181195485,0.939925394822342,0.9357514818430532,0.06344056805987285,0.11043931741992329,0.24777542017642878,0.05480619691886349
chns_children_4,0.11154440004290497,0.11154440004290497,0.11154440004290497,0.11154440004290497,0.11154440004290497,0.11154440004290497,0.11154440004290497,0.7945023206601679,0.9808597291503164,1.0,0.9923113718884851,0.9825881500860809,0.9756039258427933,0.9702389896991486,0.057498782510637926,0.12352578107043204,0.16431571533374953,0.051814476207402954
