,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-6.221323164946485e-05,0.010349250817897077,0.038212654010013704,0.014485378333877783,0.00957756191741455,0.014485378333877783,0.016055575421452847,0.016055575421452847,0.016055575421452847,0.016055575421452847,0.016055575421452847,0.016055575421452847,0.016055575421452847,0.014485378333877783,0.0032033951010774797,0.033742518096550475,0.038590705057662295,0.020464193387728077,-0.0008555015945748695,-0.0006499410409975399,-0.0007589374774714656
chns_children_3,-6.221323164946485e-05,1.0,-0.00030394369299497655,0.00912729642696326,0.003946450109684842,-0.0005372605812298424,0.003946450109684842,0.004354778624868819,0.004354778624868819,0.004354778624868819,0.004354778624868819,0.004354778624868819,0.004354778624868819,0.004354778624868819,0.003946450109684842,0.0005871421554110647,-0.0007502273559647086,0.01053729231273135,-0.0005305482160674363,-0.00038601367886760833,-0.00029326202764960214,-0.0003424426670470912
chunk_byte_size,0.010349250817897077,-0.00030394369299497655,1.0,0.056721913654152314,0.1548902952500964,0.998324646317695,0.1548902952500964,0.14783543554309342,0.14783543554309342,0.14783543554309342,0.14783543554309342,0.14783543554309342,0.14783543554309342,0.14783543554309342,0.1548902952500964,0.08287333073529034,0.03223672465613773,0.026145798032719547,0.024975617207654968,0.02292685800785967,0.020688180721085105,-0.0041257994966644815
chunk_number_in_heap,0.038212654010013704,0.00912729642696326,0.056721913654152314,1.0,-0.0009432523102707823,0.057194592546818766,-0.0009432523102707823,-0.030464673964214685,-0.030464673964214685,-0.030464673964214685,-0.030464673964214685,-0.030464673964214685,-0.030464673964214685,-0.030464673964214685,-0.0009432523102707823,-0.037151354162240066,0.006756445010517382,-0.0018050838883228433,-0.009328014908862255,-0.02238323080783325,-0.028778122351737816,-0.0025034388831751873
chunk_ptrs,0.014485378333877783,0.003946450109684842,0.1548902952500964,-0.0009432523102707823,1.0,0.09746915541757616,1.0,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,1.0,0.8913746671634071,0.2105446507947495,0.20047157586523323,0.1971119016169984,0.19418961639577922,0.1871327619565337,0.01366610101249182
chunk_vns,0.00957756191741455,-0.0005372605812298424,0.998324646317695,0.057194592546818766,0.09746915541757616,1.0,0.09746915541757614,0.09099484796623014,0.09099484796623014,0.09099484796623014,0.09099484796623014,0.09099484796623014,0.09099484796623014,0.09099484796623014,0.09746915541757614,0.03128125724867113,0.020143603596167306,0.014597441803655846,0.013614719378991861,0.011723712470299429,0.009882130469079847,-0.00495595581646913
ptrs_ancestor_1,0.014485378333877783,0.003946450109684842,0.1548902952500964,-0.0009432523102707823,1.0,0.09746915541757614,1.0,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,0.9891935737142665,1.0,0.8913746671634071,0.2105446507947495,0.20047157586523323,0.1971119016169984,0.19418961639577922,0.1871327619565337,0.01366610101249182
ptrs_ancestor_2,0.016055575421452847,0.004354778624868819,0.14783543554309342,-0.030464673964214685,0.9891935737142665,0.09099484796623014,0.9891935737142665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891935737142663,0.8735529666503941,0.21587606157980005,0.2030714240479563,0.1976256210518275,0.19122221853683002,0.18201330041621547,0.01681977927425463
ptrs_ancestor_3,0.016055575421452847,0.004354778624868819,0.14783543554309342,-0.030464673964214685,0.9891935737142665,0.09099484796623014,0.9891935737142665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891935737142663,0.8735529666503941,0.21587606157980005,0.2030714240479563,0.1976256210518275,0.19122221853683002,0.18201330041621547,0.01681977927425463
ptrs_ancestor_4,0.016055575421452847,0.004354778624868819,0.14783543554309342,-0.030464673964214685,0.9891935737142665,0.09099484796623014,0.9891935737142665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891935737142663,0.8735529666503941,0.21587606157980005,0.2030714240479563,0.1976256210518275,0.19122221853683002,0.18201330041621547,0.01681977927425463
