,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4
chunk_byte_size,1.0,0.16655787381732834,0.49596676825531216,0.999837950811184,0.49596676825531216,0.5116789051124707,0.5116789051124707,0.5116789051124707,0.5116789051124707,0.5116789051124707,0.5116789051124707,0.5116789051124707,0.49596676825531216,0.3666435490923555,0.14144228286452895,0.06043625325934603
chunk_number_in_heap,0.16655787381732834,1.0,0.08928029214492125,0.1663958315696555,0.08928029214492125,0.08965911036633803,0.08965911036633803,0.08965911036633803,0.08965911036633803,0.08965911036633803,0.08965911036633803,0.08965911036633803,0.08928029214492125,0.06776902588863841,0.12179815228407112,0.002113521768708904
chunk_ptrs,0.49596676825531216,0.08928029214492125,1.0,0.4802667042099189,1.0,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,1.0,0.9127300834706078,0.22925866301699305,0.1076161691926873
chunk_vns,0.999837950811184,0.1663958315696555,0.4802667042099189,1.0,0.4802667042099189,0.4961949204407992,0.4961949204407992,0.4961949204407992,0.4961949204407992,0.4961949204407992,0.4961949204407992,0.4961949204407992,0.4802667042099189,0.35144257368534915,0.13812273582784618,0.058803093581152585
ptrs_ancestor_1,0.49596676825531216,0.08928029214492125,1.0,0.4802667042099189,1.0,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,0.9972367318437596,1.0,0.9127300834706078,0.22925866301699305,0.1076161691926873
ptrs_ancestor_2,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_3,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_4,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_5,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_6,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_7,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_ancestor_8,0.5116789051124707,0.08965911036633803,0.9972367318437596,0.4961949204407992,0.9972367318437596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972367318437594,0.8862075304101614,0.24387933181566981,0.11365620362477319
ptrs_children_1,0.49596676825531216,0.08928029214492125,1.0,0.4802667042099189,1.0,0.9972367318437594,0.9972367318437594,0.9972367318437594,0.9972367318437594,0.9972367318437594,0.9972367318437594,0.9972367318437594,1.0,0.9127300834706078,0.22925866301699305,0.1076161691926873
ptrs_children_2,0.3666435490923555,0.06776902588863841,0.9127300834706078,0.35144257368534915,0.9127300834706078,0.8862075304101614,0.8862075304101614,0.8862075304101614,0.8862075304101614,0.8862075304101614,0.8862075304101614,0.8862075304101614,0.9127300834706078,1.0,0.09707897211056127,0.04134399791879165
ptrs_children_3,0.14144228286452895,0.12179815228407112,0.22925866301699305,0.13812273582784618,0.22925866301699305,0.24387933181566981,0.24387933181566981,0.24387933181566981,0.24387933181566981,0.24387933181566981,0.24387933181566981,0.24387933181566981,0.22925866301699305,0.09707897211056127,1.0,0.3557185391897988
ptrs_children_4,0.06043625325934603,0.002113521768708904,0.1076161691926873,0.058803093581152585,0.1076161691926873,0.11365620362477319,0.11365620362477319,0.11365620362477319,0.11365620362477319,0.11365620362477319,0.11365620362477319,0.11365620362477319,0.1076161691926873,0.04134399791879165,0.3557185391897988,1.0
