,byte_0,byte_1,byte_10,byte_11,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.6211512232351438,0.046581287454625524,0.12619427144377676,0.4548646130855476,0.2789578492419855,0.26955089133438737,0.2467144401510922,-0.2702140667561034,-0.25010005113623707,-0.18806202336610855,-0.185683175685522,-0.03255698359402216,0.548274523887473,-0.049436679099710334,-0.028697214132610102
byte_1,0.6211512232351438,1.0,0.03757395186331543,0.11885736422916399,0.4775297172281664,0.2893343147916949,0.2723411413421551,0.2448699282471933,-0.27311722401872585,-0.2563084638120831,-0.1927532061336379,-0.18925137143724807,-0.03348962474489566,0.5642623783574154,-0.051860396154197845,-0.029426710563573728
byte_10,0.046581287454625524,0.03757395186331543,1.0,0.45127157899115167,-0.1166808442627127,-0.19678792244614512,-0.17023386331187088,-0.13149543175191106,-0.16614182827829407,-0.17553512034061164,0.42492793453822697,0.4303092487337259,-0.017781461954891404,-0.117007391782069,-0.12147939520309144,-0.006638661727665776
byte_11,0.12619427144377676,0.11885736422916399,0.45127157899115167,1.0,0.01628501887245631,0.08772209944510856,0.04536558932325872,0.0034836481036791514,-0.1347152226598087,-0.12038963698494563,0.16530451804125354,0.183754506228691,-0.012129842975662417,0.013386978624631054,0.07495725043606022,-0.019573070899510343
byte_2,0.4548646130855476,0.4775297172281664,-0.1166808442627127,0.01628501887245631,1.0,0.4650088455321102,0.44937969728942445,0.42806744009756853,0.0994666453987714,0.09709261100945336,-0.3888909700721755,-0.3674982800982753,-0.015010306973372542,0.42892300636326475,0.27170863705897347,-0.04129673282537024
byte_3,0.2789578492419855,0.2893343147916949,-0.19678792244614512,0.08772209944510856,0.4650088455321102,1.0,0.4376371651849373,0.4310677243961022,0.2345756032268821,0.23847042201230564,-0.40255693422882344,-0.37930951679522806,-0.004501839255304707,0.2800845466835028,0.3726444956395843,-0.04013255075128883
byte_4,0.26955089133438737,0.2723411413421551,-0.17023386331187088,0.04536558932325872,0.44937969728942445,0.4376371651849373,1.0,0.4328326505098398,0.2399933476241088,0.23694227236742504,-0.4095760247006192,-0.38177567243501404,-0.002622337364124794,0.2790543468845736,0.3880876630356841,-0.03966828481980811
byte_5,0.2467144401510922,0.2448699282471933,-0.13149543175191106,0.0034836481036791514,0.42806744009756853,0.4310677243961022,0.4328326505098398,1.0,0.2783877986657835,0.29086124147459685,-0.3214397196043471,-0.31423622368777937,-0.007285731430318253,0.22666775231548966,0.3620426670195007,-0.041968581304404506
byte_6,-0.2702140667561034,-0.27311722401872585,-0.16614182827829407,-0.1347152226598087,0.0994666453987714,0.2345756032268821,0.2399933476241088,0.2783877986657835,1.0,0.689634990702611,-0.10802305538927717,-0.08840413961459624,0.040154709081368464,-0.313863436324816,0.3756122845065584,0.00540215268854582
byte_7,-0.25010005113623707,-0.2563084638120831,-0.17553512034061164,-0.12038963698494563,0.09709261100945336,0.23847042201230564,0.23694227236742504,0.29086124147459685,0.689634990702611,1.0,-0.09184338207367115,-0.07230364955145105,0.043856253932334825,-0.30477888282490906,0.3528271417500936,0.011370039525064076
byte_8,-0.18806202336610855,-0.1927532061336379,0.42492793453822697,0.16530451804125354,-0.3888909700721755,-0.40255693422882344,-0.4095760247006192,-0.3214397196043471,-0.10802305538927717,-0.09184338207367115,1.0,0.7141989927847858,-0.01656642517769204,-0.3326580274903761,-0.5281648576125558,0.033328174450613195
byte_9,-0.185683175685522,-0.18925137143724807,0.4303092487337259,0.183754506228691,-0.3674982800982753,-0.37930951679522806,-0.38177567243501404,-0.31423622368777937,-0.08840413961459624,-0.07230364955145105,0.7141989927847858,1.0,-0.014485550271006101,-0.3205625054457373,-0.5217541694854194,0.03487852601060709
chunk_byte_size,-0.03255698359402216,-0.03348962474489566,-0.017781461954891404,-0.012129842975662417,-0.015010306973372542,-0.004501839255304707,-0.002622337364124794,-0.007285731430318253,0.040154709081368464,0.043856253932334825,-0.01656642517769204,-0.014485550271006101,1.0,5.075474409247725e-05,0.3232801682464172,0.9959118884475906
chunk_number_in_heap,0.548274523887473,0.5642623783574154,-0.117007391782069,0.013386978624631054,0.42892300636326475,0.2800845466835028,0.2790543468845736,0.22666775231548966,-0.313863436324816,-0.30477888282490906,-0.3326580274903761,-0.3205625054457373,5.075474409247725e-05,1.0,0.011702866695832344,-0.0011090143254612092
chunk_ptrs,-0.049436679099710334,-0.051860396154197845,-0.12147939520309144,0.07495725043606022,0.27170863705897347,0.3726444956395843,0.3880876630356841,0.3620426670195007,0.3756122845065584,0.3528271417500936,-0.5281648576125558,-0.5217541694854194,0.3232801682464172,0.011702866695832344,1.0,0.23654473367777928
chunk_vns,-0.028697214132610102,-0.029426710563573728,-0.006638661727665776,-0.019573070899510343,-0.04129673282537024,-0.04013255075128883,-0.03966828481980811,-0.041968581304404506,0.00540215268854582,0.011370039525064076,0.033328174450613195,0.03487852601060709,0.9959118884475906,-0.0011090143254612092,0.23654473367777928,1.0
