,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-9.694265085553285e-05,0.008191664144807227,0.03274428644812851,0.020453832059261972,0.007546820088652091,0.020453832059261972,0.023215559268905124,0.023215559268905124,0.023215559268905124,0.023215559268905124,0.023215559268905124,0.023215559268905124,0.023215559268905124,0.020453832059261972,0.00604501601941646,0.05462001217168033,0.06429271829391588,0.039571262493169126,0.005664679635469774,0.008776297255154662,0.014718476222339481
chns_children_3,-9.694265085553285e-05,1.0,-0.0002142798919579512,0.0037346198449958153,0.004398754443263219,-0.0003608498326072953,0.004398754443263219,0.005693205336603581,0.005693205336603581,0.005693205336603581,0.005693205336603581,0.005693205336603581,0.005693205336603581,0.005693205336603581,0.004398754443263219,0.0010393787030474053,-0.0006938750109198342,0.016215485858904897,0.007081893296452911,0.003944476234910478,0.00680353686000265,-0.000347403977013521
chunk_byte_size,0.008191664144807227,-0.0002142798919579512,1.0,0.03324055557234538,0.13703052399395582,0.9994611735838865,0.13703052399395582,0.1335734840498806,0.1335734840498806,0.1335734840498806,0.1335734840498806,0.1335734840498806,0.1335734840498806,0.1335734840498806,0.13703052399395582,0.03793677610919325,0.01695968471774432,0.013462234494962162,0.012895940966190097,0.011740195663241512,0.011404518334953598,0.00036075664996430064
chunk_number_in_heap,0.03274428644812851,0.0037346198449958153,0.03324055557234538,1.0,-0.002910781566804425,0.033468103036786656,-0.002910781566804425,-0.03611348644456774,-0.03611348644456774,-0.03611348644456774,-0.03611348644456774,-0.03611348644456774,-0.03611348644456774,-0.03611348644456774,-0.002910781566804425,-0.05252500692090577,-0.017013714538055787,-0.020123269148443985,-0.021532675615385022,-0.030101784010654643,-0.033040439901662194,-0.025590013193012764
chunk_ptrs,0.020453832059261972,0.004398754443263219,0.13703052399395582,-0.002910781566804425,1.0,0.1044437331207779,1.0,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,1.0,0.7163052136667383,0.18019483881138984,0.17059662002866113,0.1683822454356364,0.16531757178172546,0.16011531414295999,0.0183150765149779
chunk_vns,0.007546820088652091,-0.0003608498326072953,0.9994611735838865,0.033468103036786656,0.1044437331207779,1.0,0.1044437331207779,0.10122612284734804,0.10122612284734804,0.10122612284734804,0.10122612284734804,0.10122612284734804,0.10122612284734804,0.10122612284734804,0.1044437331207779,0.014353502244800878,0.011055722290919348,0.007861954673314627,0.007367649556473269,0.00630898800549722,0.006145128660484288,-0.00024428979856652114
ptrs_ancestor_1,0.020453832059261972,0.004398754443263219,0.13703052399395582,-0.002910781566804425,1.0,0.1044437331207779,1.0,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,1.0,0.7163052136667383,0.18019483881138984,0.17059662002866113,0.1683822454356364,0.16531757178172546,0.16011531414295999,0.0183150765149779
ptrs_ancestor_2,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_3,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_4,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_5,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_6,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_7,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_ancestor_8,0.023215559268905124,0.005693205336603581,0.1335734840498806,-0.03611348644456774,0.992346816921818,0.10122612284734804,0.992346816921818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992346816921818,0.7081227887213134,0.18897465694310686,0.17706460701883717,0.17297873469055242,0.16641399708285876,0.15884537339009167,0.023048295023160813
ptrs_children_1,0.020453832059261972,0.004398754443263219,0.13703052399395582,-0.002910781566804425,1.0,0.1044437331207779,1.0,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,0.992346816921818,1.0,0.7163052136667383,0.18019483881138984,0.17059662002866113,0.1683822454356364,0.16531757178172546,0.16011531414295999,0.0183150765149779
ptrs_children_2,0.00604501601941646,0.0010393787030474053,0.03793677610919325,-0.05252500692090577,0.7163052136667383,0.014353502244800878,0.7163052136667383,0.7081227887213134,0.7081227887213134,0.7081227887213134,0.7081227887213134,0.7081227887213134,0.7081227887213134,0.7081227887213134,0.7163052136667383,1.0,0.1815620654524959,0.1736766770793771,0.17020175040562552,0.16760100526264227,0.1615975881520261,0.022989242671444136
ptrs_children_3,0.05462001217168033,-0.0006938750109198342,0.01695968471774432,-0.017013714538055787,0.18019483881138984,0.011055722290919348,0.18019483881138984,0.18897465694310686,0.18897465694310686,0.18897465694310686,0.18897465694310686,0.18897465694310686,0.18897465694310686,0.18897465694310686,0.18019483881138984,0.1815620654524959,1.0,0.9645334367626397,0.929020571588082,0.8968396725667255,0.8501449617707633,0.1125452379499846
ptrs_children_4,0.06429271829391588,0.016215485858904897,0.013462234494962162,-0.020123269148443985,0.17059662002866113,0.007861954673314627,0.17059662002866113,0.17706460701883717,0.17706460701883717,0.17706460701883717,0.17706460701883717,0.17706460701883717,0.17706460701883717,0.17706460701883717,0.17059662002866113,0.1736766770793771,0.9645334367626397,1.0,0.9596347668899853,0.9222733990560794,0.8674217313383548,0.1407648931245832
ptrs_children_5,0.039571262493169126,0.007081893296452911,0.012895940966190097,-0.021532675615385022,0.1683822454356364,0.007367649556473269,0.1683822454356364,0.17297873469055242,0.17297873469055242,0.17297873469055242,0.17297873469055242,0.17297873469055242,0.17297873469055242,0.17297873469055242,0.1683822454356364,0.17020175040562552,0.929020571588082,0.9596347668899853,1.0,0.9554704253790729,0.8992591071821231,0.17449012003518702
ptrs_children_6,0.005664679635469774,0.003944476234910478,0.011740195663241512,-0.030101784010654643,0.16531757178172546,0.00630898800549722,0.16531757178172546,0.16641399708285876,0.16641399708285876,0.16641399708285876,0.16641399708285876,0.16641399708285876,0.16641399708285876,0.16641399708285876,0.16531757178172546,0.16760100526264227,0.8968396725667255,0.9222733990560794,0.9554704253790729,1.0,0.9408355731900472,0.20035696510360682
ptrs_children_7,0.008776297255154662,0.00680353686000265,0.011404518334953598,-0.033040439901662194,0.16011531414295999,0.006145128660484288,0.16011531414295999,0.15884537339009167,0.15884537339009167,0.15884537339009167,0.15884537339009167,0.15884537339009167,0.15884537339009167,0.15884537339009167,0.16011531414295999,0.1615975881520261,0.8501449617707633,0.8674217313383548,0.8992591071821231,0.9408355731900472,1.0,0.3330478324411751
ptrs_children_8,0.014718476222339481,-0.000347403977013521,0.00036075664996430064,-0.025590013193012764,0.0183150765149779,-0.00024428979856652114,0.0183150765149779,0.023048295023160813,0.023048295023160813,0.023048295023160813,0.023048295023160813,0.023048295023160813,0.023048295023160813,0.023048295023160813,0.0183150765149779,0.022989242671444136,0.1125452379499846,0.1407648931245832,0.17449012003518702,0.20035696510360682,0.3330478324411751,1.0
