,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1756114892552824,0.14371481347199644,0.12069620177340445,0.1093281557329058,0.10107343179257093,0.09600063969097533,0.09427160724947808,0.137662475618718,-0.10405914450869334,0.24319299419946963,0.11812905902981609
chns_children_2,0.1756114892552824,0.1756114892552824,0.1756114892552824,0.1756114892552824,0.1756114892552824,0.1756114892552824,0.1756114892552824,1.0,0.9327870834737413,0.8792180497632516,0.8492645644821034,0.8260254405993445,0.812408336384556,0.808216172259122,0.242818762922321,0.021594800182559114,0.3785056151409858,0.21299377460175778
chns_children_3,0.14371481347199644,0.14371481347199644,0.14371481347199644,0.14371481347199644,0.14371481347199644,0.14371481347199644,0.14371481347199644,0.9327870834737413,1.0,0.9825710127098567,0.958876462900967,0.9371731837124477,0.9229399182533229,0.9177645048677618,0.17464608839962717,0.016664292343924875,0.2827625705574758,0.1521215865672639
chns_children_4,0.12069620177340445,0.12069620177340445,0.12069620177340445,0.12069620177340445,0.12069620177340445,0.12069620177340445,0.12069620177340445,0.8792180497632516,0.9825710127098567,1.0,0.9912744629355991,0.9766854239157414,0.9645428345439448,0.9575384397272924,0.13079507694403317,0.01613940509511183,0.2598295172026379,0.10925330645495282
chns_children_5,0.1093281557329058,0.1093281557329058,0.1093281557329058,0.1093281557329058,0.1093281557329058,0.1093281557329058,0.1093281557329058,0.8492645644821034,0.958876462900967,0.9912744629355991,1.0,0.9950666500964926,0.987082066767434,0.9806084607810401,0.1140974196517967,0.017909007889539065,0.2465692414399012,0.09334031235596611
chns_children_6,0.10107343179257093,0.10107343179257093,0.10107343179257093,0.10107343179257093,0.10107343179257093,0.10107343179257093,0.10107343179257093,0.8260254405993445,0.9371731837124477,0.9766854239157414,0.9950666500964926,1.0,0.9974795547278005,0.9928388383373162,0.1116390562232224,0.01839790475387943,0.2420219156365739,0.0912369530059274
