,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
feature_0,1.0,0.16997338953094585,-0.2134061302918555,0.09283001845620302,-0.030001447038477586,-0.17754573980787422,-0.06046346130182089,0.17707784613819136,-0.13587431834433203,0.16965616338784537,-0.09673251145503099,-0.0053143739312312725,0.2796752795373911,0.21318659028280806,0.0621528886497129,-0.00266419638932527,-0.002429181668828135,0.11225855131335306,0.1420918924452786,-0.30581524431408175,-0.06306584452720386,-0.1846073250330739,0.07117249974903811,0.2901824096237285,0.2908175699375929,-0.1393422649587517,-0.02311728506470595,-0.0073561816617029,-0.1736936546491918,0.10009415435953473,-0.12431151236492878,-0.006812044044733096,0.05277952798996459,-0.03103440301485289,0.15718507907066628,-0.0001911433677951115,0.15655031510786094,-0.01103691058860118,0.020125711088684058,-0.004247477253026139,-0.06228812148878405,0.2904595782249607,0.11328281123298395,0.06583627882913237,0.2709046366791282,-0.18845463009320837,-0.24694207271455035,-0.24908955926670295,0.09796600766576165,0.06724341817862363,0.14027358494380643,-0.03690004332372014,-0.07003591276730403,-0.11238974953512594,-0.011467299985892668,-0.10764995797902062,-0.14591945603953485,-0.0768215344458723,-0.18249175120685007,-0.0066968016657036255,-0.09938644172509976,0.005566403360016111,0.0025595532244129964,-0.28236428466196883,-0.12813478333479772,0.28941335306730986,0.006499842276047478,0.05566759459535252,-0.24408523522777056,0.0676282187042963,-0.11585908788970628,-0.21703537196328884,0.17852886652383762,-0.21405202305507018,-0.014769053870042684,0.04394426016154451,0.11220350078932137,-0.13409766124075176,0.0363709303056229,0.15932036073495623,0.007932526350612285,0.13523757278348988,-0.06320782005436432,-0.1253417171197415,-0.13168145226852887,0.30967410208270896,-0.038506509966541626,-0.13541597857533186,-0.031043277114420238,0.05621882098943771,-0.14928801047172427,0.06452435707194974,0.1537631462713024,-0.09286853992320421,-0.2843327966348814,-0.08124084216891928,-0.19817354753130026,-0.07354957734548481,-0.22562766469287837,-0.16796424184520184
feature_1,0.16997338953094585,1.0,-0.08506522367776975,0.03826148495918329,-0.020187087717797446,-0.2388442871151591,0.12748769585361489,0.08132916703431012,0.077167126694446,0.08363521665652943,-0.08730874567256088,0.10023557339532384,0.3121256001743924,0.16532854541159578,-0.12578756634879198,-0.03926564423625014,-0.02335401843934541,0.15815793885939525,0.0393419592520912,-0.18453420590867145,0.1253112804050549,-0.14986657782396506,0.14964980532756958,0.21045215099019532,0.15472782390254233,-0.16206716070970975,0.08520831425254115,-0.025749819586967346,-0.18879212191938596,-0.037845208424121465,-0.06823644799048093,0.026844453176989403,0.0217908136680412,0.0377548827593885,0.1464785525172113,-0.12270629434307793,0.05383700837192659,-0.15288020429268204,-0.09719007070311866,0.10635290699858958,-0.0237265262292297,0.1586758545580804,0.09312585292827821,-0.02893858114714484,0.14696859466378737,-0.25449925697976433,-0.2906292159885711,-0.2799022862821589,0.1458022557345145,-0.07434555981304468,0.11294828482849802,-0.05011811433871856,0.03137613329738009,-0.09199857034544709,-0.03629583778350063,-0.16437890070373207,0.012703584006330766,-0.040841680852848415,-0.205625759056615,0.003988585300144911,-0.0073037150979282355,0.046410591644770814,-0.017474156420012172,-0.2096280386300413,-0.0916638370625,0.2626914227851247,-0.04400058195025829,0.15700884196061263,-0.23435921594117978,0.009335485847367448,-0.08686040024558479,-0.15023585564721226,0.16313130839317044,-0.08445476642354678,0.03605634525469292,0.12053635451259039,0.02595341889501021,-0.12149393694918849,-0.025399147568936433,0.17292253146567052,-0.11287141129944969,0.10000792667279908,0.03187589995259009,-0.17331316586324494,-0.15307942142694284,0.1155647446602978,-0.011369868721869621,-0.11708197077761968,-0.04434235885491618,-0.04074742847018635,-0.028340986208254447,0.10692326799973317,0.0816088311324605,-0.02276659442916427,-0.25496987506803825,-0.04017215903863037,-0.17029099946242368,-0.1023760317114563,-0.2362478729497501,0.035413867763725924
feature_2,-0.2134061302918555,-0.08506522367776975,1.0,0.11605459879328787,0.12346517860378065,0.15673303325922924,0.025537637500548962,-0.20679997440753592,0.012908969377370497,-0.25272230018247666,0.0601386845846147,0.13238875642023798,-0.3004347894070954,-0.35864102685747756,0.0076422787971891695,0.12799569421282556,-0.13023872916326895,0.045187427295628343,-0.0648524353009692,0.20216193201927615,0.06585731742011551,0.29373237762855914,-0.22531767604672964,-0.29684572349452176,-0.3194135137447713,0.17077710025605988,0.008540371213452632,0.11997656729440237,0.08132825543010672,-0.13866400124083655,0.17692297132981527,-0.04475148222233998,0.047066943560949925,0.11387916816113912,-0.23170275135117013,0.2219617561945508,0.022275314484411557,0.008978469577118552,-0.0948607270509975,0.03252369059395184,0.05879686765750891,-0.2982446184222336,-0.01110863551332386,-0.19270479655059197,-0.34636484561718606,0.09442770841932564,0.24945266925327503,0.19867451608984435,-0.15961255273165187,-0.17439847586724758,-0.1771991084981383,0.16816300392521125,0.26145333719261116,0.0694274360768617,0.23223977256148173,0.1402401197999496,0.17165506186905338,0.1241678652287183,0.18998707072967194,0.2521180895928231,0.17557887201105832,0.02226527970635368,-0.07748013402503226,0.3012606343050271,0.17198635224968042,-0.2957394950982186,-0.11564945842190037,-0.08084595765491222,0.11472150803738157,-0.05651763356505695,0.09119042613514655,0.3307626696409334,-0.15045925294322937,0.32312119161295866,-0.026340682846687166,-0.11391349580690122,-0.19466860828711158,0.25638947832136416,0.11389012220940664,-0.08929293155836657,-0.0490267411966086,-0.0758116607950429,0.14090314061108267,0.23168991060404517,0.22777200551384788,-0.08217720677889152,-0.05876684122988935,0.2010389516844734,-0.049353139260587715,0.10994421310355733,0.1161952177169602,-0.0036571524886183726,-0.0186451859183396,-0.03805449278599692,0.21633784005262605,0.20904300756375185,0.30155411618079714,0.08994401822352978,0.4138174880112939,0.14898759303655237
feature_3,0.09283001845620302,0.03826148495918329,0.11605459879328787,1.0,-0.11033292718913468,-0.06441188911167585,0.014773379127075595,0.05350685614541284,-0.04789234981083494,-0.003347866367611758,-0.03172221498571097,0.025553847617956826,0.0129216092317073,0.0011463354150460859,0.026356424387041243,-0.02501731532200912,0.0157725334307182,0.015976859040120996,-0.008277250923187348,0.02324915734217708,0.016748455863396378,-0.06856488586670191,0.010792824538591527,0.038507523411583235,0.024527421779911778,0.022973831600746574,0.12302029935151278,-0.033450610571496064,-0.03714360150690262,-0.0873301131477651,-0.03121925136612107,0.007093219132065917,0.09061549379893051,0.03780490573172428,-0.021506131540556635,-0.03693303065783411,0.027215243735670247,0.03196247640105638,-0.03782071116447157,0.038225658023413364,-0.013631790589660544,0.09890398917449077,0.01361170424647843,0.030167928051283495,-0.01767288515701001,-0.09984956746519254,-0.11424344910283253,-0.042273516777211306,0.041524674969670175,0.03703627810328388,0.07894024207379156,0.002792605420994002,0.02973657340626451,0.040678553234006334,0.08091774396766027,-0.15138545081198185,0.051567640164888774,-0.12966880117293636,-0.009807876531773075,-0.035735018713239884,-0.0343605017470064,0.06966821902906614,-0.07435997939903372,-0.05893396344603744,0.10042732240228146,0.059286910082727844,0.08515518231787218,-0.10994226052910436,0.017797421213198387,-0.02677584087155617,-0.03930867738112701,0.038742139282522625,-0.05105702618583113,0.031059483744076754,-0.04279398006311396,0.022971486339492763,-0.023957690153962066,-0.04425074099579594,-0.08749607110317975,0.04960394343399256,0.010257172807517758,0.007144922729435542,-0.006155254559174104,-0.05710176051433347,-0.058475007043211236,-0.021514965806626766,0.036086371591670954,-0.07527638900568775,-0.03383308031889509,-0.017933874450722042,0.07391419352402608,0.08619362614560167,-0.062198631688914596,-0.13733164808747164,-0.008928683132506708,0.061846137220750504,-0.0317501619544463,-0.025581352020193862,0.07183020281039204,0.002447009442247143
feature_4,-0.030001447038477586,-0.020187087717797446,0.12346517860378065,-0.11033292718913468,1.0,0.1679402619762677,-0.08353917935534722,-0.12947429465506086,0.12550918542406778,-0.26970730633249407,0.04026879962823944,0.049271536180637225,-0.2818376716772634,-0.255522003675286,0.23840622378046405,0.09703722794550095,-0.1726006608266854,0.21567550317767514,0.0675128943584806,-0.08090904266815051,-0.0878476932989284,0.10512473551724755,-0.28504800131855573,-0.2923056255259671,-0.23952859353367284,0.25084792253540666,0.039380543890111704,0.47647135621975106,0.10768027746230083,0.18577922794453516,0.3188090171040481,0.05108885282346294,-0.020905671854690944,-0.16139121011542604,-0.07872670256693316,0.17795038255858112,0.2044849050926868,-0.12956667327247257,-0.1339255918195055,-0.1344762725336285,0.1564825916685432,-0.22721602470603772,0.00022135088799354134,-0.4405234993499816,-0.14793922048237151,0.202867084286547,0.2173042066613702,0.05531864265476852,-0.1954507887093121,-0.3544011627864177,-0.06067832712914552,0.2788785080280546,-0.17580311590797257,0.07654874625904658,-0.09178853977066853,-0.01946794342779104,-0.13799771983337855,0.1662458341985079,0.27943529502949593,0.08316902652100112,0.2141132511433948,0.12111357752216013,0.10990586574704278,0.11850265724478291,-0.13394859279569918,-0.17428442485572734,-0.22777574464319109,-0.04507292979805648,-0.20222143163796133,0.21955580968498756,0.06077581859203445,0.17424611895029685,0.09544326958537903,-0.06433720829356578,0.08635896560624165,-0.14806015398327885,-0.20354454126844687,0.25642893085590424,-0.027875033112205145,0.05338815083719706,-0.1265641652123786,-0.21385156460709454,-0.18337629003585731,0.2335154509966662,0.23427722115922292,-0.04845187391247119,-0.27995991946523036,0.28971948200834946,0.3710586402621557,0.23304707915758346,-0.28067729025941573,-0.28019333027174104,0.11806722493824684,-0.022389160493236582,0.14572612823342462,-0.18023423069844177,0.391088924254697,-0.06891352960194862,0.3398631683507126,0.22794106421324167
feature_5,-0.17754573980787422,-0.2388442871151591,0.15673303325922924,-0.06441188911167585,0.1679402619762677,1.0,-0.15040797892991795,-0.27712929051138635,-0.1329549977193673,-0.32437074422377254,-0.0059123622835531384,-0.05520639317854027,-0.5331068565556532,-0.31108751605302626,0.326132075919424,0.16144951380764916,-0.16631670740067148,-0.10343265587460478,0.028991696620267085,0.20585210384563574,-0.17071187981400698,0.24666849594388934,-0.33414325031196146,-0.32791724897906055,-0.2575160918404865,0.26026816664166774,-0.22695877352837152,0.16388100699148223,0.3329880252816043,0.22317239268949307,0.2028189789668619,-0.0515107771974205,-0.02819619123261257,-0.16171547998841504,-0.23027026369926426,0.29851828332444197,0.006158410401162987,0.11584294284002497,0.026585961900497578,-0.15905861948952682,0.1592160581197509,-0.28577836589235256,-0.17519130146875805,-0.1865622264784001,-0.16495579468842583,0.45591124405242556,0.49023376105398603,0.3086531505748188,-0.19202278114741997,-0.14760152188562636,-0.21117258414309883,0.14432791640276763,-0.24130117293679287,0.24031865347196893,0.0597232310407741,0.19902367711625368,-0.1128711514391421,0.15193036179182115,0.3968709457611099,0.16182048126021514,0.058312789074490626,-0.025176171975573418,-0.07412132094286258,0.1882466212844289,0.13167915366832708,-0.45727591146232105,-0.08383497880411574,-0.24284986062069347,0.15233566328067638,0.08734321671948651,0.11361464235759405,0.23307040445102667,-0.15263559277029556,0.0916137529136146,0.1376489603645841,-0.26543032618214546,-0.2188707786959286,0.2487842160299975,-0.024862931909592486,-0.2803819984952922,0.2699500032797353,-0.3086986117922936,-0.2228230087960106,0.4336732376013565,0.3020755567763813,-0.10548664312209238,-0.03426745596585966,0.2670810868982977,0.14837804325987153,0.12838153650632203,0.01657245965737165,-0.2381588262530475,0.06387200774144872,0.08661108236292313,0.49743281196774847,0.011992051287629086,0.48634155613463886,0.12869091847236422,0.36934355865560997,0.08986674184822287
feature_6,-0.06046346130182089,0.12748769585361489,0.025537637500548962,0.014773379127075595,-0.08353917935534722,-0.15040797892991795,1.0,0.015547711966256737,0.1967834710614139,0.07553371308887628,0.05308686801226168,0.0028510846063172363,0.17614859934434648,0.13965927007182488,-0.1700613302244887,-0.1579544212070235,0.13366891525121075,-0.19235327826831905,-0.060775221496198586,0.07008485148434185,0.05034355927128477,-0.08302260189096461,0.1320228944630618,0.09378313685511357,0.09432520899664418,-0.051150391783389,0.17077536126768375,-0.16687870336462773,-0.03455035160944965,-0.03782987502239878,-0.1857148383869951,-0.021999208847052625,0.03891808768176873,0.12813922049015994,-0.05074056317376347,-0.16594056032753188,-0.1780884340584766,-0.1301481828585152,-0.10269106439265348,0.04945086092114996,0.15910201195334361,-0.007844740053631533,0.13312807173490654,0.13742412647401303,-0.03202183325720996,-0.13592153113274313,-0.14716006900714027,-0.17298021409724645,0.10611322273289191,0.04898818893120565,0.09894561181215422,0.034517511276748916,0.12333982290685606,-0.19216859446131912,-0.09772407142549866,0.1168467241112063,0.1742415910592422,0.01033749611573116,-0.14970953363800799,-0.18367565307738215,0.04547606316729046,-0.004869845813188285,-0.006991016597755403,-0.010872775272135038,-0.04720403715318104,0.09311746170688316,0.10606625515446377,0.2561940391400711,0.02138670111987143,-0.14617660546856415,0.032445399760122756,0.03152798299658778,0.04346889764928636,-0.05762311563706507,0.05435219239644544,-0.039002766738748494,0.10137471452092577,-0.13802675380081383,0.0727350328734534,-0.09043648309859371,-0.0025819258833940126,-0.010869565124564709,0.20622758667273214,-0.20455427727246003,-0.07924079472241013,0.03654230734579696,0.09570573309431711,0.059915323491824005,-0.05034717551449582,-0.0829579275129167,-0.11785723611917032,-0.07358842632316769,-0.13682261146612276,0.11706850937018862,-0.03644819384285551,-0.12143822544129816,-0.23698095693658555,-0.20535302159548413,-0.15668339073242346,0.014685954105968997
feature_7,0.17707784613819136,0.08132916703431012,-0.20679997440753592,0.05350685614541284,-0.12947429465506086,-0.27712929051138635,0.015547711966256737,1.0,-0.07361615332252833,0.2226176984482209,-0.06794230922009471,0.03317449974783098,0.30836445918304184,0.30411961024929596,-0.11666170014784487,-0.16953719442004875,0.06120456021506922,-0.003094535529756566,-0.03575488828646021,-0.13991409554931689,0.014586773526942973,-0.10483519856636202,0.21370781206249634,0.2082272375129627,0.271172068365815,-0.15749770041752137,0.02901779196343852,-0.1543643261230379,-0.24037658199798626,-0.07328691619999506,-0.2206104312449911,-0.05558378251755359,-0.0925008019053457,-0.025781128539128426,0.10943886939208528,-0.11706026698853146,0.062210343886201336,-0.09666788002022987,0.043424777373272404,0.05760997232085153,-0.2318781984861922,0.3249109060928558,0.11836814377719042,0.14640396193672034,0.27629004130578705,-0.1542901238774519,-0.2328552080823072,-0.14531394158065397,0.21765357871874583,0.15965674358285936,0.19623343013062355,-0.055788243769811084,0.06967168027031147,-0.2815586118542388,0.003673815194136463,-0.047688942610306234,-0.11390731491869503,-0.11167632728423599,-0.2826602035738668,-0.13089601895229214,-0.14839734062212004,0.08325279985025485,0.09889368475969569,-0.17364619011564975,-0.2344838438476122,0.34546818450782896,0.08298592927272389,0.09939591466215315,-0.011376726555705412,0.04276997571705993,-0.16124699113668073,-0.22914189571904786,0.14007593129165863,-0.04732671458878332,-0.10841316733480741,0.19189821553963457,0.21681647059150852,-0.11715146474595668,0.08697245217240311,0.15487441685787273,-0.1319176639189861,0.2945847503569676,0.06254040744576266,-0.17861521462673818,-0.15657082600154865,0.0691103989583411,0.01308766784530999,-0.2598895895850818,-0.0723310683598937,-0.051085770462194896,5.482615265025496e-05,0.034396670567174714,0.09679815512155984,-0.20379059950964457,-0.39188413080741585,-0.14351503946839766,-0.3575308995282808,-0.07559529866526334,-0.26855073185170414,-0.16492732800142562
feature_8,-0.13587431834433203,0.077167126694446,0.012908969377370497,-0.04789234981083494,0.12550918542406778,-0.1329549977193673,0.1967834710614139,-0.07361615332252833,1.0,-0.0657081984710856,0.1544551907142485,-0.025991817567165926,0.023834320399227553,-0.02640024037054564,-0.1603306308264619,-0.11383911590662209,0.05989780769879881,-0.08732512787004879,-0.05905042261016738,0.05916508892931015,0.16568298410976928,0.04122858769117037,0.12674357699649513,-0.05913139450036678,-0.06920749074309869,0.025497937128602884,0.12718962266072922,0.05948431882248056,-0.031494364271913135,-0.13710303694513354,0.011269774617609463,-0.06996182023844366,0.014872245019340676,0.05838407376131252,-0.08543466848942609,-0.18752331923865628,-0.09199695752018054,-0.23786761561070724,-0.08498553724489352,0.07232949230759708,0.03397058854359357,-0.10173014039368698,0.08454129965496472,-0.06662746230483425,-0.13021374590776116,-0.06963787730152307,-0.04409724941364891,-0.05151614231114783,0.015037931069845242,-0.016871131678549783,0.005824122134720951,0.03392438254156071,0.1864345688701026,-0.09566507134319725,-0.03921943157467934,0.0715550238658572,0.18371124452831983,0.08193329013222535,-0.05857816859728346,0.015820190504332716,0.1928146923062041,-0.014483455242499466,0.10162224304508964,0.1867539534649218,-0.12875040713943522,0.004603756855003552,0.07839340013482221,0.24388496436860316,0.0059539142571654515,-0.01582341932804185,0.10589943662516592,0.056020496530545416,0.0042943686054384,0.009416406410752856,-0.06982431456516983,0.08238007914189732,0.0517162955253062,0.05731478059247746,0.09882567944941345,0.06473842228101911,-0.24900201005672454,-0.07251878556380215,0.20284108105792897,-0.09606046440651982,0.05480128969561959,-0.07938771097085612,0.04007336126030498,0.039807712883850446,0.05639714749351978,0.10026044196990179,-0.18526107348944515,-0.06046227710820979,-0.17924114034893338,0.06555191493510709,0.002431341482579678,-0.10211482003167699,-0.08697705806349657,-0.16335901281142634,0.0018780280293880726,0.08455393133929649
feature_9,0.16965616338784537,0.08363521665652943,-0.25272230018247666,-0.003347866367611758,-0.26970730633249407,-0.32437074422377254,0.07553371308887628,0.2226176984482209,-0.0657081984710856,1.0,-0.08080863605421813,-0.09162884003105706,0.45561188750965587,0.425316398895274,-0.2500370628244038,-0.08654718283337748,0.19342755685137009,0.01617657682647649,0.031301033840014626,-0.24204514749857764,0.05502991800782382,-0.18302648741416527,0.31846343389950604,0.3755040097676707,0.3188116649765712,-0.34499953316967735,-0.05574104898103936,-0.22089648239016213,-0.24765199881911643,-0.11472434703805764,-0.12595255046353307,-0.06920505901131906,-0.14253486819325173,0.14235384437318008,0.29570312149102657,-0.21913916959577542,-0.016181938229466477,-0.022854544057681832,0.1483320029666153,0.10543365675212628,-0.2451297496770751,0.19239658298142376,0.03301988208555309,0.38164118655406587,0.3257421288667763,-0.25716607405664316,-0.43997325400720466,-0.24868516793802975,-0.0033520973593907113,0.17016719345123263,0.22197718830299282,-0.32960591718191873,0.16586120937706092,-0.2076027661451203,-0.07762553516038825,-0.1281938459643039,-0.07014208399298684,0.04100016647072628,-0.46173714852679953,-0.15431440156491325,-0.1823593651530719,-0.1497709225482608,0.07775113558373653,-0.15659468914512253,-0.18299118734336856,0.42088914252293713,0.03520425351814835,0.08465632740548353,-0.1057464630623307,-0.05368279985440919,-0.10093042183907588,-0.33018091791992077,0.2968093977661349,-0.08249240002659686,-0.006948656930277099,0.3578153776874147,0.3312675996625773,-0.2842042636329808,0.051103788022855916,0.3612684283174037,-0.18075176269945684,0.32809628508533517,0.17624552379702627,-0.3877173666798807,-0.3303760855950155,0.10597933458149064,0.13477720076972471,-0.24411626605139372,-0.21907712530907583,-0.15748977130442168,0.04086234672353196,0.2924895505301013,-0.04239076638403581,-0.07596674581710193,-0.4514203515813844,-0.0652286024121482,-0.49045044513986846,-0.0614848191902681,-0.4624943523923449,-0.3362646161484896
