,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-9.694265085556029e-05,0.008191664144808724,0.03274428644812392,0.020453832059262107,0.007546820088655634,0.020453832059262107,0.023215559268898053,0.023215559268898053,0.023215559268898053,0.023215559268898053,0.023215559268898053,0.023215559268898053,0.023215559268898053,0.020453832059262107,0.006045016019415075,0.05462001217170935,0.06429271829392437,0.039571262493189915,0.005664679635468626,0.008776297255154882,0.014718476222349019
chns_children_3,-9.694265085556029e-05,1.0,-0.0002142798919579889,0.0037346198449944097,0.004398754443263659,-0.00036084983260744013,0.004398754443263659,0.005693205336603609,0.005693205336603609,0.005693205336603609,0.005693205336603609,0.005693205336603609,0.005693205336603609,0.005693205336603609,0.004398754443263659,0.0010393787030476417,-0.0006938750109198376,0.016215485858905813,0.007081893296453678,0.0039444762349108795,0.006803536860000992,-0.000347403977013535
chunk_byte_size,0.008191664144808724,-0.0002142798919579889,1.0,0.03324055557233348,0.13703052399397372,0.9994611735837146,0.13703052399397372,0.13357348404984157,0.13357348404984157,0.13357348404984157,0.13357348404984157,0.13357348404984157,0.13357348404984157,0.13357348404984157,0.13703052399397372,0.0379367761091731,0.016959684717739874,0.013462234494959622,0.01289594096619047,0.011740195663238447,0.011404518334951508,0.00036075664996431116
chunk_number_in_heap,0.03274428644812392,0.0037346198449944097,0.03324055557233348,1.0,-0.002910781566804261,0.033468103036776595,-0.002910781566804261,-0.03611348644455314,-0.03611348644455314,-0.03611348644455314,-0.03611348644455314,-0.03611348644455314,-0.03611348644455314,-0.03611348644455314,-0.002910781566804261,-0.05252500692089316,-0.017013714538054215,-0.020123269148446157,-0.021532675615385775,-0.03010178401066202,-0.03304043990166247,-0.025590013193006286
chunk_ptrs,0.020453832059262107,0.004398754443263659,0.13703052399397372,-0.002910781566804261,1.0,0.10444373312076319,1.0,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,1.0,0.7163052136669765,0.18019483881137818,0.17059662002863776,0.16838224543564168,0.16531757178179232,0.16011531414293642,0.018315076514980908
chunk_vns,0.007546820088655634,-0.00036084983260744013,0.9994611735837146,0.033468103036776595,0.10444373312076319,1.0,0.10444373312076322,0.10122612284730649,0.10122612284730649,0.10122612284730649,0.10122612284730649,0.10122612284730649,0.10122612284730649,0.10122612284730649,0.10444373312076322,0.01435350224480062,0.011055722290924526,0.00786195467331619,0.007367649556472685,0.006308988005498653,0.006145128660485362,-0.0002442897985666326
ptrs_ancestor_1,0.020453832059262107,0.004398754443263659,0.13703052399397372,-0.002910781566804261,1.0,0.10444373312076322,1.0,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,1.0,0.7163052136669765,0.18019483881137818,0.17059662002863776,0.16838224543564168,0.16531757178179232,0.16011531414293642,0.018315076514980908
ptrs_ancestor_2,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_3,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_4,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_5,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_6,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_7,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_ancestor_8,0.023215559268898053,0.005693205336603609,0.13357348404984157,-0.03611348644455314,0.9923468169217703,0.10122612284730649,0.9923468169217703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169217703,0.708122788721307,0.18897465694314206,0.17706460701879703,0.17297873469064126,0.16641399708285928,0.15884537339007052,0.023048295023161143
ptrs_children_1,0.020453832059262107,0.004398754443263659,0.13703052399397372,-0.002910781566804261,1.0,0.10444373312076322,1.0,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,0.9923468169217703,1.0,0.7163052136669765,0.18019483881137818,0.17059662002863776,0.16838224543564168,0.16531757178179232,0.16011531414293642,0.018315076514980908
ptrs_children_2,0.006045016019415075,0.0010393787030476417,0.0379367761091731,-0.05252500692089316,0.7163052136669765,0.01435350224480062,0.7163052136669765,0.708122788721307,0.708122788721307,0.708122788721307,0.708122788721307,0.708122788721307,0.708122788721307,0.708122788721307,0.7163052136669765,1.0,0.18156206545247588,0.1736766770793889,0.17020175040566116,0.16760100526256036,0.1615975881519856,0.022989242671445687
ptrs_children_3,0.05462001217170935,-0.0006938750109198376,0.016959684717739874,-0.017013714538054215,0.18019483881137818,0.011055722290924526,0.18019483881137818,0.18897465694314206,0.18897465694314206,0.18897465694314206,0.18897465694314206,0.18897465694314206,0.18897465694314206,0.18897465694314206,0.18019483881137818,0.18156206545247588,1.0,0.9645334367627648,0.9290205715881111,0.8968396725665547,0.8501449617705986,0.1125452379499612
ptrs_children_4,0.06429271829392437,0.016215485858905813,0.013462234494959622,-0.020123269148446157,0.17059662002863776,0.00786195467331619,0.17059662002863776,0.17706460701879703,0.17706460701879703,0.17706460701879703,0.17706460701879703,0.17706460701879703,0.17706460701879703,0.17706460701879703,0.17059662002863776,0.1736766770793889,0.9645334367627648,1.0,0.9596347668899285,0.9222733990559546,0.8674217313383847,0.1407648931245917
ptrs_children_5,0.039571262493189915,0.007081893296453678,0.01289594096619047,-0.021532675615385775,0.16838224543564168,0.007367649556472685,0.16838224543564168,0.17297873469064126,0.17297873469064126,0.17297873469064126,0.17297873469064126,0.17297873469064126,0.17297873469064126,0.17297873469064126,0.16838224543564168,0.17020175040566116,0.9290205715881111,0.9596347668899285,1.0,0.9554704253791266,0.8992591071822027,0.17449012003519612
ptrs_children_6,0.005664679635468626,0.0039444762349108795,0.011740195663238447,-0.03010178401066202,0.16531757178179232,0.006308988005498653,0.16531757178179232,0.16641399708285928,0.16641399708285928,0.16641399708285928,0.16641399708285928,0.16641399708285928,0.16641399708285928,0.16641399708285928,0.16531757178179232,0.16760100526256036,0.8968396725665547,0.9222733990559546,0.9554704253791266,1.0,0.9408355731900414,0.20035696510366016
ptrs_children_7,0.008776297255154882,0.006803536860000992,0.011404518334951508,-0.03304043990166247,0.16011531414293642,0.006145128660485362,0.16011531414293642,0.15884537339007052,0.15884537339007052,0.15884537339007052,0.15884537339007052,0.15884537339007052,0.15884537339007052,0.15884537339007052,0.16011531414293642,0.1615975881519856,0.8501449617705986,0.8674217313383847,0.8992591071822027,0.9408355731900414,1.0,0.3330478324411897
ptrs_children_8,0.014718476222349019,-0.000347403977013535,0.00036075664996431116,-0.025590013193006286,0.018315076514980908,-0.0002442897985666326,0.018315076514980908,0.023048295023161143,0.023048295023161143,0.023048295023161143,0.023048295023161143,0.023048295023161143,0.023048295023161143,0.023048295023161143,0.018315076514980908,0.022989242671445687,0.1125452379499612,0.1407648931245917,0.17449012003519612,0.20035696510366016,0.3330478324411897,1.0
