,byte_0,byte_1,byte_10,byte_11,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.6456506965629897,0.05801614452558362,0.10586161487270275,0.4630651164000553,0.271993059526346,0.25757887794245665,0.24003991708619996,-0.25650378095877746,-0.2266140447748467,-0.11171519950115733,-0.1234731540280815,-0.00021482251496321986,0.4616165681409459,-0.04198005601174402,0.0011770533016946833
byte_1,0.6456506965629897,1.0,0.047652580901639006,0.09582455312766618,0.4846188595893912,0.2847095520079467,0.26065714519919087,0.2383912754861564,-0.25975468156255316,-0.23206278428669264,-0.11778997962827213,-0.12278778846322697,-0.008823452431218126,0.4767126599219162,-0.03915531002502498,-0.007559742212908821
byte_10,0.05801614452558362,0.047652580901639006,1.0,0.45150827420047185,-0.08262863870919837,-0.1551447602966565,-0.13135654413751335,-0.08772958075275623,-0.11773501996675399,-0.11398867054524695,0.4330743555632953,0.4325916872868277,0.009406575049389973,-0.10056187089467893,-0.04003658273681345,0.010772945363876579
byte_11,0.10586161487270275,0.09582455312766618,0.45150827420047185,1.0,0.023660582157277947,0.13881383245140264,0.06049483541715262,0.02432324165892184,-0.08365947156875388,-0.07108672539189193,0.1580826078368808,0.1758852325528159,0.0002466959885945033,0.01809266536361632,-0.002401100828404444,0.0003285717451615278
byte_2,0.4630651164000553,0.4846188595893912,-0.08262863870919837,0.023660582157277947,1.0,0.4794057466767719,0.4610645262693363,0.4457625587437694,0.1258623422450398,0.12145694429269686,-0.31644979006171964,-0.30716946441702886,-0.006285142893996561,0.3716370878101336,0.013935437070373174,-0.0067709068705681455
byte_3,0.271993059526346,0.2847095520079467,-0.1551447602966565,0.13881383245140264,0.4794057466767719,1.0,0.4461401228565224,0.44263588153239863,0.2572307383003689,0.2565514149984967,-0.33904105175176913,-0.32272178924458345,-0.014455971562513843,0.24187632826050082,0.03571729397846403,-0.015696697255128234
byte_4,0.25757887794245665,0.26065714519919087,-0.13135654413751335,0.06049483541715262,0.4610645262693363,0.4461401228565224,1.0,0.44958906535784754,0.26168846064109275,0.2528649386630015,-0.34796888672606013,-0.3274543337554728,-0.00574805160424382,0.24100564164239463,0.03275444198545527,-0.006855513617670791
byte_5,0.24003991708619996,0.2383912754861564,-0.08772958075275623,0.02432324165892184,0.4457625587437694,0.44263588153239863,0.44958906535784754,1.0,0.29891162608397304,0.30449536085978246,-0.2569125802609479,-0.25475981255594,-0.0076382665772665075,0.18897701247418724,0.022316643865008076,-0.00840725830526098
byte_6,-0.25650378095877746,-0.25975468156255316,-0.11773501996675399,-0.08365947156875388,0.1258623422450398,0.2572307383003689,0.26168846064109275,0.29891162608397304,1.0,0.668504987059358,-0.09286862991761122,-0.08094211173757444,0.0047910464235564314,-0.2442657470128687,0.055806517453260984,0.002959590270209122
byte_7,-0.2266140447748467,-0.23206278428669264,-0.11398867054524695,-0.07108672539189193,0.12145694429269686,0.2565514149984967,0.2528649386630015,0.30449536085978246,0.668504987059358,1.0,-0.061828240723242396,-0.05996369007751072,0.00817250612571097,-0.23829957798150053,0.05210822701319108,0.0064769934096702095
byte_8,-0.11171519950115733,-0.11778997962827213,0.4330743555632953,0.1580826078368808,-0.31644979006171964,-0.33904105175176913,-0.34796888672606013,-0.2569125802609479,-0.09286862991761122,-0.061828240723242396,1.0,0.7197827648588946,0.03100108850062529,-0.2944909607964117,-0.100977945740923,0.03447120405622844
byte_9,-0.1234731540280815,-0.12278778846322697,0.4325916872868277,0.1758852325528159,-0.30716946441702886,-0.32272178924458345,-0.3274543337554728,-0.25475981255594,-0.08094211173757444,-0.05996369007751072,0.7197827648588946,1.0,0.0212077222671005,-0.2837122612300328,-0.09863544381697595,0.024561357738264546
chunk_byte_size,-0.00021482251496321986,-0.008823452431218126,0.009406575049389973,0.0002466959885945033,-0.006285142893996561,-0.014455971562513843,-0.00574805160424382,-0.0076382665772665075,0.0047910464235564314,0.00817250612571097,0.03100108850062529,0.0212077222671005,1.0,0.03324055557233742,0.13703052399400947,0.9994611735839078
chunk_number_in_heap,0.4616165681409459,0.4767126599219162,-0.10056187089467893,0.01809266536361632,0.3716370878101336,0.24187632826050082,0.24100564164239463,0.18897701247418724,-0.2442657470128687,-0.23829957798150053,-0.2944909607964117,-0.2837122612300328,0.03324055557233742,1.0,-0.0029107815668045745,0.03346810303679618
chunk_ptrs,-0.04198005601174402,-0.03915531002502498,-0.04003658273681345,-0.002401100828404444,0.013935437070373174,0.03571729397846403,0.03275444198545527,0.022316643865008076,0.055806517453260984,0.05210822701319108,-0.100977945740923,-0.09863544381697595,0.13703052399400947,-0.0029107815668045745,1.0,0.10444373312080629
chunk_vns,0.0011770533016946833,-0.007559742212908821,0.010772945363876579,0.0003285717451615278,-0.0067709068705681455,-0.015696697255128234,-0.006855513617670791,-0.00840725830526098,0.002959590270209122,0.0064769934096702095,0.03447120405622844,0.024561357738264546,0.9994611735839078,0.03346810303679618,0.10444373312080629,1.0
