,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chunk_byte_size,1.0,0.031924942351081245,0.28297249067637303,0.9998913081291854,0.28297249067637303,0.29365799095356304,0.29365799095356304,0.29365799095356304,0.29365799095356304,0.29365799095356304,0.29365799095356304,0.29365799095356304,0.28297249067637303,0.18961770584306373,0.20114002004151285,0.025541208297202442,0.00971674342446318,0.00971674342446318,0.00971674342446318,0.00971674342446318
chunk_number_in_heap,0.031924942351081245,1.0,0.021807241376265666,0.03170453559139673,0.021807241376265666,0.022955244253672843,0.022955244253672843,0.022955244253672843,0.022955244253672843,0.022955244253672843,0.022955244253672843,0.022955244253672843,0.021807241376265666,0.018398420482726115,0.07746674135472222,-0.0028994621335857946,-0.001100079847480042,-0.001100079847480042,-0.001100079847480042,-0.001100079847480042
chunk_ptrs,0.28297249067637303,0.021807241376265666,1.0,0.2688067329796815,1.0,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,1.0,0.9193133865504391,0.41928264945438354,0.05944078983869697,0.022652393369019832,0.022652393369019832,0.022652393369019832,0.022652393369019832
chunk_vns,0.9998913081291854,0.03170453559139673,0.2688067329796815,1.0,0.2688067329796815,0.27956919289217447,0.27956919289217447,0.27956919289217447,0.27956919289217447,0.27956919289217447,0.27956919289217447,0.27956919289217447,0.2688067329796815,0.17629732611846474,0.1955506103543789,0.02473618075808392,0.00941025802569913,0.00941025802569913,0.00941025802569913,0.00941025802569913
ptrs_ancestor_1,0.28297249067637303,0.021807241376265666,1.0,0.2688067329796815,1.0,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,0.9979431051655706,1.0,0.9193133865504391,0.41928264945438354,0.05944078983869697,0.022652393369019832,0.022652393369019832,0.022652393369019832,0.022652393369019832
ptrs_ancestor_2,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_3,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_4,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_5,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_6,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_7,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_ancestor_8,0.29365799095356304,0.022955244253672843,0.9979431051655706,0.27956919289217447,0.9979431051655706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979431051655705,0.8946626455189116,0.4501531634820938,0.06306536168129488,0.0240330807121044,0.0240330807121044,0.0240330807121044,0.0240330807121044
ptrs_children_1,0.28297249067637303,0.021807241376265666,1.0,0.2688067329796815,1.0,0.9979431051655705,0.9979431051655705,0.9979431051655705,0.9979431051655705,0.9979431051655705,0.9979431051655705,0.9979431051655705,1.0,0.9193133865504391,0.41928264945438354,0.05944078983869697,0.022652393369019832,0.022652393369019832,0.022652393369019832,0.022652393369019832
ptrs_children_2,0.18961770584306373,0.018398420482726115,0.9193133865504391,0.17629732611846474,0.9193133865504391,0.8946626455189116,0.8946626455189116,0.8946626455189116,0.8946626455189116,0.8946626455189116,0.8946626455189116,0.8946626455189116,0.9193133865504391,1.0,0.18275398623978448,0.02299617441738417,0.00876646152210472,0.00876646152210472,0.00876646152210472,0.00876646152210472
