pipeline_name,start_time,end_time,duration,random_seed,dataset_path,data_loading_duration,training_dataset_origin,testing_dataset_origin,descending_best_column_names,descending_best_column_values,feature_engineering_duration,scaling_duration,clustering_duration,min_samples,best_eps,best_n_clusters,best_silhouette_score,best_noise_number,system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory
Pipeline.PIPELINE,1698256429.6287637,1698259709.5899305,3279.961166858673,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size8_window_bytes_size8_word_byte_size2_min_count1,1.128760000,training,validation,feature_0 feature_7 feature_3 feature_5 feature_6 feature_1 feature_2 feature_4,4.284996291742253 3.9838281758169143 3.910229807584828 3.839263589338646 3.3615143709507374 3.322343039239257 2.8575520539318604 2.709705373249185,1.300823000,0.015942000,3276.418366000,312,0.05,4,0.21542251,8049,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,333445865472
Pipeline.PIPELINE,1698260253.8688986,1698263583.4226258,3329.5537271499634,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size8_window_bytes_size8_word_byte_size4_min_count1,1.172729000,training,validation,feature_2 feature_6 feature_3 feature_7 feature_4 feature_1 feature_5 feature_0,2.8042438820101343 2.7782258375052358 2.6269707422611916 2.390761648111215 2.113105482003836 1.9818434799260523 1.9191021813901803 1.4214402310974026,0.808230000,0.009594000,3326.614044000,312,0.02,8,0.066422,6546,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,460064792576
Pipeline.PIPELINE,1698264419.592116,1698267764.5768836,3344.984767436981,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size8_window_bytes_size16_word_byte_size2_min_count1,1.083951000,training,validation,feature_0 feature_1 feature_2 feature_4 feature_5 feature_7 feature_6 feature_3,5.274685141519503 4.716963346134735 4.220210230648711 4.174459252449542 3.730839325913904 3.49010679608431 3.481020043558457 3.2871156534657895,0.841114000,0.014850000,3342.200250000,312,0.05,6,0.057763476,7422,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,451639107584
Pipeline.PIPELINE,1698268305.8241503,1698271634.6623225,3328.838172197342,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size8_window_bytes_size16_word_byte_size4_min_count1,1.105044000,training,validation,feature_4 feature_5 feature_1 feature_6 feature_2 feature_7 feature_0 feature_3,3.0762865702176994 2.94639933505528 2.9137365696819852 2.80495895176979 2.683827004763971 2.506989415578845 2.39834831610653 1.65224253727706,0.774672000,0.014407000,3326.112218000,312,0.01,7,0.32493496,6596,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,464972435456
Pipeline.PIPELINE,1698272466.6299882,1698275727.1795158,3260.549527645111,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size16_window_bytes_size8_word_byte_size2_min_count1,1.835698000,training,validation,feature_15 feature_0 feature_13 feature_7 feature_1 feature_6 feature_9 feature_10 feature_5 feature_11 feature_3 feature_8 feature_14 feature_2 feature_12 feature_4,7.064514498774373 6.273879225173759 6.087771396775801 5.991043906093613 5.788237693458072 5.624604570782074 5.544473240272597 5.322901508792831 5.240540280671596 5.179928547774857 5.0924147568706735 4.99848705050473 4.764948810275505 4.314402531484455 4.214818267613077 4.032721061096557,1.764075000,0.010559000,3255.528497000,312,0.02,6,0.004780026,7273,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,458782961664
Pipeline.PIPELINE,1698276275.6625292,1698279564.8743112,3289.211781978607,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size16_window_bytes_size8_word_byte_size4_min_count1,2.322771000,training,validation,feature_5 feature_15 feature_12 feature_11 feature_2 feature_10 feature_4 feature_6 feature_0 feature_8 feature_1 feature_9 feature_13 feature_3 feature_14 feature_7,5.134391346483015 4.8875860716977915 4.789254373238108 4.443063576596537 4.3941309687675645 4.235474789855722 4.234397683628831 4.202642826770284 4.133356148037175 4.109209384540208 4.077200832579505 4.02973427282128 3.8221985822329776 3.3119359829324546 3.296881723801176 3.027169219192773,1.991616000,0.011095000,3283.493279000,312,0.04,6,0.08118922,7538,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,464418910208
Pipeline.PIPELINE,1698280406.2486696,1698283653.3831403,3247.1344707012177,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size16_window_bytes_size16_word_byte_size2_min_count1,2.262792000,training,validation,feature_0 feature_7 feature_3 feature_15 feature_4 feature_11 feature_12 feature_9 feature_2 feature_8 feature_14 feature_10 feature_1 feature_5 feature_6 feature_13,6.585934306251476 6.554278689316983 5.951323519989057 5.942035198105604 5.567725092918778 5.386192304200917 5.32382118745785 5.0803097103979304 5.0341867356998575 4.785332160676119 4.774927000128362 4.697956924302839 4.448762589707076 4.386793538105097 4.200977024613607 3.488282732962248,1.238532000,0.005125000,3242.350704000,312,0.05,5,0.17092486,7425,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,454592253952
Pipeline.PIPELINE,1698284190.5388017,1698287462.7379572,3272.1991555690765,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size16_window_bytes_size16_word_byte_size4_min_count1,1.966293000,training,validation,feature_5 feature_6 feature_11 feature_8 feature_12 feature_9 feature_15 feature_2 feature_7 feature_10 feature_4 feature_14 feature_1 feature_13 feature_0 feature_3,5.312982306298744 5.002725509335435 4.9868112863222285 4.655732152775652 4.402781659603373 4.098513306168568 4.019759271080742 3.9509558174587767 3.9211131313284673 3.784235687179761 3.7719786351453357 3.622979292959721 3.4624697183713176 3.2552083406786467 3.248212052466674 3.15900863093212,1.435666000,0.004770000,3267.603411000,312,0.04,5,0.35919777,8115,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,460071657472
Pipeline.PIPELINE,1698288376.815485,1698291688.596923,3311.781438112259,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size100_window_bytes_size8_word_byte_size2_min_count1,13.117715000,training,validation,feature_55 feature_4 feature_66 feature_79 feature_60 feature_91 feature_78 feature_56 feature_24 feature_7 feature_54 feature_48 feature_0 feature_64 feature_32 feature_13 feature_57 feature_25 feature_90 feature_85 feature_20 feature_45 feature_59 feature_98 feature_6 feature_87 feature_86 feature_26 feature_69 feature_23 feature_49 feature_22 feature_28 feature_84 feature_77 feature_39 feature_70 feature_27 feature_38 feature_30 feature_61 feature_52 feature_37 feature_36 feature_40 feature_31 feature_80 feature_14 feature_16 feature_72 feature_46 feature_93 feature_88 feature_9 feature_3 feature_83 feature_75 feature_43 feature_1 feature_10 feature_63 feature_35 feature_11 feature_17 feature_82 feature_8 feature_19 feature_33 feature_50 feature_73 feature_12 feature_67 feature_53 feature_34 feature_29 feature_76 feature_58 feature_42 feature_95 feature_81 feature_99 feature_74 feature_15 feature_62 feature_71 feature_89 feature_21 feature_94 feature_44 feature_18 feature_47 feature_65 feature_97 feature_68 feature_92 feature_96 feature_2 feature_5 feature_51 feature_41,45.54265787322241 43.936856829500975 42.9980345911343 42.03992533526386 42.00568506164086 41.511437534723036 41.411555314839816 41.228196733711044 41.095788257952776 41.08939187999147 41.08283464280115 39.71205685645169 39.590459565136506 39.55270746464891 39.48654377512666 39.39276804870941 39.312029408935 39.23798565416478 39.13306105853186 39.127410854112284 38.73852126827956 38.57332728651419 38.295421069605844 38.278510351310715 38.1885995474953 37.7829440079857 37.35086324361674 37.2536664791756 36.73488706913245 36.61303962535539 36.52950953919964 36.39437610323708 35.947980639811036 34.82201979247117 34.4167012099917 34.38858960506593 33.78053081989258 33.51643159428575 33.444882485710465 33.34304011667791 33.22065397988363 33.09948951890335 32.74793881390421 31.73533020227266 31.689730996844705 31.106992755703903 31.0851838772277 30.573280802637758 30.565378282775324 30.371975727715146 30.36582235784314 30.346268448187534 30.182215905989594 30.11138146852456 29.58126394316469 29.037629284672427 28.647578048134054 28.349367633149214 28.314845656220136 28.114782879942304 27.28442734483835 27.07996203754466 26.98592454076666 26.826445687418534 26.77246043339226 26.22712985631456 25.95063043298572 25.463602580965635 24.951651477217435 24.948228777288215 24.920386115658452 24.89638876979327 24.750903668628325 24.396241921466718 24.3297116461264 24.07597212755327 23.39276916933347 23.26854296387052 23.19987225248885 22.82703688092248 22.567487780078267 22.458675671888106 22.437502894007658 22.336124164990782 22.23987754938678 22.093860898369986 22.034791241775864 22.02774488588883 21.546325080570696 21.4244819108459 21.16982684449943 21.151792459526835 19.43145442805616 19.329110965167608 18.723470506708807 18.569792423273086 16.973453126848963 16.851076374046105 16.36228315904946 13.851452692962512,28.945110000,0.008330000,3266.228779000,312,0.01,9,0.024190038,6109,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,455884095488
Pipeline.PIPELINE,1698292342.3851178,1698295714.8438091,3372.4586913585663,42,/root/phdtrack/mem2graph/embedding/deeplearning/26_filtered_chunk_extraction_-e_only-max-entropy_-s_none/embedding_word2vec_word2vec_output_size100_window_bytes_size8_word_byte_size4_min_count1,9.863996000,training,validation,feature_37 feature_47 feature_81 feature_85 feature_10 feature_60 feature_2 feature_68 feature_14 feature_16 feature_8 feature_0 feature_20 feature_38 feature_71 feature_17 feature_91 feature_3 feature_57 feature_48 feature_92 feature_83 feature_9 feature_5 feature_77 feature_26 feature_53 feature_39 feature_63 feature_22 feature_43 feature_44 feature_50 feature_19 feature_42 feature_58 feature_66 feature_98 feature_79 feature_64 feature_84 feature_97 feature_12 feature_34 feature_11 feature_1 feature_70 feature_49 feature_76 feature_4 feature_73 feature_56 feature_7 feature_61 feature_25 feature_51 feature_87 feature_67 feature_36 feature_33 feature_55 feature_95 feature_24 feature_72 feature_23 feature_59 feature_30 feature_88 feature_90 feature_29 feature_74 feature_80 feature_93 feature_13 feature_82 feature_86 feature_52 feature_31 feature_27 feature_41 feature_46 feature_35 feature_89 feature_21 feature_75 feature_94 feature_69 feature_6 feature_65 feature_62 feature_99 feature_78 feature_15 feature_54 feature_45 feature_40 feature_32 feature_96 feature_28 feature_18,32.99535011331471 31.526940377710698 30.926730823894548 29.15188758733637 28.991167816410858 28.91057240616441 28.85659056211077 28.461708618440806 28.091699606630133 27.87567101747774 27.826000997434207 27.694574654965685 27.66233071794657 27.650961361674216 27.10115593632831 26.653899239507616 26.61048724552518 26.415053015228626 26.38702746645754 26.30049625635917 26.2462628806122 25.954309757228557 25.901214131144354 25.836639508024454 25.771673682084767 25.54410228742762 25.495236878867267 25.482550434271356 25.342047356526525 25.283938171434894 25.253911927841653 25.01018761365407 24.938620936368974 24.862510342423526 24.78550611662741 24.602662294429162 24.492287353227578 24.48334304008079 24.258574308080686 24.25697042384964 24.069842578222396 24.031112361946402 23.94682256854732 23.669102340335574 23.633927769595505 23.55298131227167 23.548791151111416 23.41492106657958 23.373421393778226 23.363366531174705 23.321141535201164 23.31490668188591 23.135718370749355 22.837225364027695 22.76836378454943 22.70973125273518 22.580034126076427 22.57515538590464 22.524007252282708 22.512544710859423 22.475454156034917 22.38237313097782 22.327754472522365 22.314821408607465 22.276526299306138 22.27612050190254 22.196411156791164 21.861367999642663 21.72811616864064 21.6570661926338 21.519809981060202 21.10006023397003 21.001035284810403 20.96965862134172 20.804075457700165 20.698067379951237 20.57875052322072 20.573141959154615 20.35016618822824 20.340217959637123 20.200999025507112 20.088464021012545 19.93379416438806 19.769254186913674 19.73418229272304 19.320090210611827 19.080154263385396 18.92394860383202 18.739019346607858 18.636070733121457 18.63105219447213 18.60468487754059 18.525113258642477 18.474896439613534 18.465016976239372 18.134731618698392 17.9311538250988 17.615739327457536 17.46748476212871 15.298889192214947,28.974166000,0.008663000,3329.854209000,312,0.01,5,-0.0080410475,7566,Linux,compute-container-rascoussie-d584d4794-lbm9r,5.15.0-84-generic,#93-Ubuntu SMP Tue Sep 5 17:16:10 UTC 2023,x86_64,x86_64,64,128,540440178688,467984351232
