,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4619726792255887,0.5009942200363834,0.46036756590209316,0.40167833115367363,0.3495435701636573,0.31894009063158424,0.3020457296082587,0.2770431482047792,0.08031530690250768,0.4594211352435954,0.2711614916392159
chns_children_2,0.4619726792255887,0.4619726792255887,0.4619726792255887,0.4619726792255887,0.4619726792255887,0.4619726792255887,0.4619726792255887,1.0,0.936563012888132,0.8536040253706139,0.7609978898152668,0.6933262785221692,0.6499499940426887,0.626202747227501,0.28328462333608184,0.024482723838458963,0.9982358887162835,0.26914830108571997
chns_children_3,0.5009942200363834,0.5009942200363834,0.5009942200363834,0.5009942200363834,0.5009942200363834,0.5009942200363834,0.5009942200363834,0.936563012888132,1.0,0.9635296673733929,0.8808914953748211,0.7996781252969949,0.7469480617777653,0.7163238518113272,0.3232941241008947,0.02253441471844503,0.9354961317526651,0.3102918353304741
chns_children_4,0.46036756590209316,0.46036756590209316,0.46036756590209316,0.46036756590209316,0.46036756590209316,0.46036756590209316,0.46036756590209316,0.8536040253706139,0.9635296673733929,1.0,0.9683727682699881,0.9016206481723309,0.8448881201233278,0.8079790906484299,0.30212292612947633,0.013193142214731267,0.8568323320917979,0.2902396916369883
chns_children_5,0.40167833115367363,0.40167833115367363,0.40167833115367363,0.40167833115367363,0.40167833115367363,0.40167833115367363,0.40167833115367363,0.7609978898152668,0.8808914953748211,0.9683727682699881,1.0,0.9738341615612477,0.9276821075321905,0.890682561361032,0.2660965692897662,0.007618308670599278,0.7680996882253217,0.255424036882594
chns_children_6,0.3495435701636573,0.3495435701636573,0.3495435701636573,0.3495435701636573,0.3495435701636573,0.3495435701636573,0.3495435701636573,0.6933262785221692,0.7996781252969949,0.9016206481723309,0.9738341615612477,1.0,0.9847667025105507,0.9613337867980382,0.23330839312704768,0.007938462161741487,0.7013464850119893,0.22352251571308202
chns_children_7,0.31894009063158424,0.31894009063158424,0.31894009063158424,0.31894009063158424,0.31894009063158424,0.31894009063158424,0.31894009063158424,0.6499499940426887,0.7469480617777653,0.8448881201233278,0.9276821075321905,0.9847667025105507,1.0,0.9934429127769586,0.21585833774563384,0.009595211413185444,0.6568046155335322,0.20668280664911323
chns_children_8,0.3020457296082587,0.3020457296082587,0.3020457296082587,0.3020457296082587,0.3020457296082587,0.3020457296082587,0.3020457296082587,0.626202747227501,0.7163238518113272,0.8079790906484299,0.890682561361032,0.9613337867980382,0.9934429127769586,1.0,0.20548929383090564,0.00901736610274679,0.6323586112024251,0.1966453749220244
chunk_byte_size,0.2770431482047792,0.2770431482047792,0.2770431482047792,0.2770431482047792,0.2770431482047792,0.2770431482047792,0.2770431482047792,0.28328462333608184,0.3232941241008947,0.30212292612947633,0.2660965692897662,0.23330839312704768,0.21585833774563384,0.20548929383090564,1.0,0.03192494235108214,0.28297249067638935,0.9998913081292294
chunk_number_in_heap,0.08031530690250768,0.08031530690250768,0.08031530690250768,0.08031530690250768,0.08031530690250768,0.08031530690250768,0.08031530690250768,0.024482723838458963,0.02253441471844503,0.013193142214731267,0.007618308670599278,0.007938462161741487,0.009595211413185444,0.00901736610274679,0.03192494235108214,1.0,0.02180724137626605,0.03170453559139702
chunk_ptrs,0.4594211352435954,0.4594211352435954,0.4594211352435954,0.4594211352435954,0.4594211352435954,0.4594211352435954,0.4594211352435954,0.9982358887162835,0.9354961317526651,0.8568323320917979,0.7680996882253217,0.7013464850119893,0.6568046155335322,0.6323586112024251,0.28297249067638935,0.02180724137626605,1.0,0.26880673297968666
chunk_vns,0.2711614916392159,0.2711614916392159,0.2711614916392159,0.2711614916392159,0.2711614916392159,0.2711614916392159,0.2711614916392159,0.26914830108571997,0.3102918353304741,0.2902396916369883,0.255424036882594,0.22352251571308202,0.20668280664911323,0.1966453749220244,0.9998913081292294,0.03170453559139702,0.26880673297968666,1.0
