,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-9.694265085556136e-05,0.008191664144808423,0.03274428644812509,0.020453832059260574,0.007546820088655364,0.020453832059260574,0.023215559268896426,0.023215559268896426,0.023215559268896426,0.023215559268896426,0.023215559268896426,0.023215559268896426,0.023215559268896426,0.020453832059260574,0.006045016019414268,0.05462001217170431,0.06429271829392337,0.03957126249318957,0.0056646796354687485,0.00877629725515473,0.014718476222348639
chns_children_3,-9.694265085556136e-05,1.0,-0.00021427989195800596,0.0037346198449947463,0.004398754443263723,-0.0003608498326074248,0.004398754443263723,0.005693205336603857,0.005693205336603857,0.005693205336603857,0.005693205336603857,0.005693205336603857,0.005693205336603857,0.005693205336603857,0.004398754443263723,0.001039378703047712,-0.0006938750109198512,0.016215485858906996,0.0070818932964544805,0.003944476234911154,0.006803536860001075,-0.000347403977013516
chunk_byte_size,0.008191664144808423,-0.00021427989195800596,1.0,0.03324055557233233,0.13703052399397192,0.9994611735837002,0.13703052399397192,0.13357348404982583,0.13357348404982583,0.13357348404982583,0.13357348404982583,0.13357348404982583,0.13357348404982583,0.13357348404982583,0.13703052399397192,0.03793677610917332,0.016959684717738923,0.013462234494959684,0.012895940966191725,0.011740195663239653,0.011404518334950936,0.0003607566499643595
chunk_number_in_heap,0.03274428644812509,0.0037346198449947463,0.03324055557233233,1.0,-0.002910781566804185,0.03346810303677577,-0.002910781566804185,-0.03611348644455723,-0.03611348644455723,-0.03611348644455723,-0.03611348644455723,-0.03611348644455723,-0.03611348644455723,-0.03611348644455723,-0.002910781566804185,-0.05252500692089378,-0.01701371453805513,-0.020123269148447684,-0.02153267561538521,-0.030101784010665496,-0.033040439901662236,-0.025590013193005377
chunk_ptrs,0.020453832059260574,0.004398754443263723,0.13703052399397192,-0.002910781566804185,1.0,0.10444373312074756,1.0,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,1.0,0.7163052136669856,0.1801948388113878,0.17059662002863665,0.16838224543563035,0.16531757178180212,0.16011531414294883,0.01831507651497942
chunk_vns,0.007546820088655364,-0.0003608498326074248,0.9994611735837002,0.03346810303677577,0.10444373312074756,1.0,0.10444373312074756,0.10122612284731206,0.10122612284731206,0.10122612284731206,0.10122612284731206,0.10122612284731206,0.10122612284731206,0.10122612284731206,0.10444373312074756,0.014353502244799657,0.011055722290924223,0.007861954673316188,0.007367649556472934,0.0063089880054990185,0.006145128660485379,-0.0002442897985666283
ptrs_ancestor_1,0.020453832059260574,0.004398754443263723,0.13703052399397192,-0.002910781566804185,1.0,0.10444373312074756,1.0,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,0.9923468169218338,1.0,0.7163052136669856,0.1801948388113878,0.17059662002863665,0.16838224543563035,0.16531757178180212,0.16011531414294883,0.01831507651497942
ptrs_ancestor_2,0.023215559268896426,0.005693205336603857,0.13357348404982583,-0.03611348644455723,0.9923468169218338,0.10122612284731206,0.9923468169218338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169218338,0.7081227887212157,0.18897465694314525,0.17706460701879684,0.17297873469064806,0.16641399708284293,0.1588453733900837,0.023048295023162586
ptrs_ancestor_3,0.023215559268896426,0.005693205336603857,0.13357348404982583,-0.03611348644455723,0.9923468169218338,0.10122612284731206,0.9923468169218338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169218338,0.7081227887212157,0.18897465694314525,0.17706460701879684,0.17297873469064806,0.16641399708284293,0.1588453733900837,0.023048295023162586
ptrs_ancestor_4,0.023215559268896426,0.005693205336603857,0.13357348404982583,-0.03611348644455723,0.9923468169218338,0.10122612284731206,0.9923468169218338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923468169218338,0.7081227887212157,0.18897465694314525,0.17706460701879684,0.17297873469064806,0.16641399708284293,0.1588453733900837,0.023048295023162586
